ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target
ID_4CVF9UG,2010-03-28,2011-03-27,Male,41,2010-03-28,1,Saloon,Grey,Lexus,Ikorodu,Lagos,Car Classic,1
ID_8KS4YIN,2010-10-25,2011-10-24,Female,44,2010-10-25,1,,Grey,TOYOTA,Amuwo-Odofin,Amuwo-Odofin,Car Classic,0
ID_J7GFPHU,2010-10-25,2011-10-24,Male,44,2010-10-25,1,,,,,,Car Classic,0
ID_94RVPE9,2010-11-26,2011-07-30,Male,27,2010-11-26,1,,,,,,Car Classic,0
ID_WQ1GZZB,2010-01-08,2011-01-07,NOT STATED,40,2010-01-08,1,Saloon,,TOYOTA,,,CarSafe,0
ID_602ZL89,2010-08-29,2011-04-10,Male,42,2010-08-29,1,Saloon,Grey,TOYOTA,Surulere,Lagos,Car Classic,0
ID_4CMF9MH,2010-02-01,2011-01-31,Male,45,2010-02-01,1,Saloon,,Peugeot,,,Car Classic,0
ID_GNUQKPT,2010-07-30,2011-07-28,Male,52,2010-07-30,1,JEEP,,TOYOTA,,,CarSafe,0
ID_5FCYV5S,2010-05-09,2011-05-07,Male,41,2010-05-09,1,JEEP,,Nissan,,,CarSafe,0
ID_U827WI5,2010-02-22,2011-02-21,Male,34,2010-02-22,1,Sedan,Black,Lexus,,,Car Classic,0
ID_CGMX69O,2010-01-14,2011-01-13,Entity,120,2010-01-14,4,Truck,,FOTON,Ikoyi,Lagos,CVTP,0
ID_TG1L7KB,2010-03-05,2011-03-04,Female,38,2010-03-05,1,Saloon,,Kia,,,CarSafe,0
ID_BODNALL,2010-07-30,2011-07-29,Male,46,2010-07-30,2,Saloon,Black,Nissan,Alimosho,Lagos,Car Classic,0
ID_Q9ZK6YC,2010-10-08,2011-01-04,SEX,42,2010-10-08,1,,,,,,Car Classic,0
ID_R284IQY,2010-02-12,2011-02-11,Male,12,2010-02-12,2,,,Range Rover,Lekki,Lagos,Customized Motor,0
ID_W6L72RD,2010-04-05,2011-04-04,Female,32,2010-04-05,3,Saloon,Grey,TOYOTA,,,Car Classic,0
ID_8EK3KEB,2010-05-10,2011-05-09,Female,34,2010-05-10,1,Saloon,Grey,TOYOTA,Surulere,Lagos,Car Classic,0
ID_GDZQTGU,2010-01-24,2011-01-23,Male,48,2010-01-24,1,Saloon,,TOYOTA,Oguta,Imo,Customized Motor,0
ID_02O5FDM,2010-02-10,2011-02-09,Joint Gender,20,2010-02-10,1,,As Attached,TOYOTA,Aguda,Benue,Car Classic,0
ID_C4YHUK5,2010-04-05,2011-01-10,Male,38,2010-04-05,1,,,TOYOTA,Abuja Municipal,Abuja-Municipal,Car Classic,0
ID_5VNXACZ,2010-05-16,2011-05-15,Male,65,2010-05-16,1,JEEP,B.Silver,TOYOTA,Umuahia South,Umuahia-South,Car Plus,0
ID_3Q9QVK6,2010-03-12,2011-03-11,Male,34,2010-03-12,1,JEEP,Black,Honda,,,Car Classic,1
ID_4TB713K,2010-09-25,2011-09-24,Female,31,2010-09-25,2,,,,Lagos Island,Lagos,Car Plus,0
ID_XV3P5EF,2010-11-08,2011-11-07,Male,40,2010-11-08,1,,,,,,CarSafe,0
ID_H2CAEWT,2010-08-28,2011-08-27,Female,38,2010-08-28,1,Saloon,Blue,TOYOTA,Surulere,Lagos,Car Classic,0
ID_2FQNIOS,2010-12-12,2011-06-11,Female,33,2010-12-12,1,,,,,,Car Classic,0
ID_U8HXSM2,2010-05-17,2011-05-16,Male,40,2010-05-17,2,JEEP,Beige Mitalic,Volkswagen,Lagos Island,Lagos,Car Classic,0
ID_2564IU4,2010-08-05,2011-04-02,Male,26,2010-08-05,1,,,,,,Car Plus,1
ID_7EOHTV3,2010-04-16,2011-04-15,Male,54,2010-04-16,1,Saloon,Ash,Lexus,Victoria Island,Lagos,Car Classic,0
ID_HKLIE0M,2010-12-20,2011-12-19,Female,35,2010-12-20,1,,,,,,CarSafe,0
ID_F7YSTGW,2010-02-26,2011-02-25,Male,55,2010-02-26,2,Saloon,Black,Honda,Victoria Island,Lagos,Car Classic,0
ID_S7VHYM5,2010-08-05,2011-02-13,Female,37,2010-08-05,4,,,Hyundai,Lekki,Lagos,Car Classic,1
ID_75ZNT4H,2010-01-10,2011-01-09,Male,47,2010-01-10,1,JEEP,,TOYOTA,,,CarSafe,0
ID_0J58IN3,2010-07-05,2010-12-31,,120,2010-07-05,4,,,Mitsubishi,Victoria Island,Lagos,Muuve,0
ID_3M3S8TO,2010-07-23,2011-07-22,Male,40,2010-07-23,1,Saloon,,TOYOTA,,,CarSafe,0
ID_77YVSR5,2010-04-30,2011-04-29,Male,42,2010-04-30,1,Saloon,,Honda,,,CarSafe,0
ID_E6VC4V3,2010-09-11,2011-09-02,Male,35,2010-09-11,1,,As Attached,TOYOTA,Lagos Island,Lagos,Car Classic,0
ID_IEL70F3,2010-06-27,2011-06-26,Female,65,2010-06-27,1,Saloon,D. Gold,TOYOTA,,,Car Plus,0
ID_YVATSHQ,2010-02-26,2011-02-25,Entity,10,2010-02-26,3,JEEP,Black,Honda,Abuja Municipal,Abuja-Municipal,Car Plus,0
ID_WMR32DW,2010-01-14,2011-01-13,Entity,120,2010-01-14,4,Bus,,TOYOTA,Ikoyi,Lagos,CVTP,0
ID_C5PLL4T,2010-01-30,2011-01-29,Female,2,2010-01-30,1,Saloon,,Honda,,,CarSafe,0
ID_VOH16EF,2010-01-01,2010-12-31,,120,2010-01-01,4,,As Attached,.,Victoria Island,Lagos,Muuve,1
ID_30VL90F,2010-01-17,2011-01-16,Male,42,2010-01-17,1,,As Attached,Range Rover,Victoria Island,Lagos,Car Classic,0
ID_GGR5XZH,2010-11-08,2011-11-07,Male,51,2010-11-08,1,JEEP,Grey,Nissan,Oshodi-Isolo,Oshodi-Isolo,Car Classic,0
ID_RTIP4NO,2010-09-30,2011-03-29,Male,29,2010-09-30,2,,,,,,Car Classic,0
ID_KIMWZEZ,2010-03-22,2011-03-21,Entity,120,2010-03-22,2,JEEP,Black,Hyundai,Lagos,Lagos,Car Classic,0
ID_4CZIUD5,2010-09-16,2011-09-15,Female,60,2010-09-16,1,Saloon,,TOYOTA,,,Car Classic,0
ID_SBQTC8K,2010-11-22,2011-11-21,Male,36,2010-11-22,2,Saloon,Blue,TOYOTA,,,Car Classic,1
ID_A8G8HAA,2010-01-22,2011-01-21,Male,34,2010-01-22,1,JEEP,,TOYOTA,Asaba,Delta,Car Classic,0
ID_XUTZCEP,2010-08-21,2011-08-20,Female,1,2010-08-21,1,,,,,,CarSafe,0
ID_DAFZ43R,2010-01-05,2011-01-04,Male,50,2010-01-05,1,Saloon,,TOYOTA,Obia/Akpor,Obia-Akpor,CarSafe,0
ID_NXZQ3N8,2010-05-09,2011-05-08,Male,40,2010-05-09,1,Saloon,,Honda,,,CarSafe,0
ID_8P9IML9,2010-03-01,2011-03-01,Male,42,2010-03-01,1,Saloon,,TOYOTA,,,CarSafe,0
ID_S1PLBU6,2010-06-11,2011-06-07,Male,31,2010-06-11,1,JEEP,Black,Mercedes,Victoria Island,Lagos,Car Classic,1
ID_3WPAQ7G,2010-04-10,2011-04-09,Female,37,2010-04-10,2,Saloon,Black,TOYOTA,Ikeja,Lagos,Car Classic,0
ID_WEZP5OK,2010-11-14,2011-11-11,Female,37,2010-11-14,1,,,,,,Car Classic,0
ID_H3KLJ8Q,2010-09-17,2011-09-16,Male,44,2010-09-17,1,,,Mercedes,Victoria Island,Lagos,Car Classic,0
ID_BBS50V5,2010-10-03,2011-10-02,Male,33,2010-10-03,2,,,,,,Car Classic,0
ID_RN576E6,2010-04-24,2011-03-27,NO GENDER,25,2010-04-24,1,Truck,As Attached,Iveco,Victoria Island,Lagos,CVTP,0
ID_KI9MFQH,2010-09-02,2010-12-31,Entity,20,2010-09-02,3,,,,Lagos,Lagos,Muuve,1
ID_EZPAQ6K,2010-07-24,2011-07-23,Male,1,2010-07-24,1,Saloon,,TOYOTA,,,CarSafe,0
ID_PSVEE6N,2010-02-14,2011-02-13,Male,43,2010-02-14,1,Saloon,,TOYOTA,,,CarSafe,0
ID_I7EN4GD,2010-07-25,2011-07-24,Male,35,2010-07-25,1,JEEP,Black,Pontiac,,,Car Classic,0
ID_XHTBPEO,2010-11-01,2011-05-01,,42,2010-11-01,1,,,,Victoria Island,Lagos,Car Classic,0
ID_T2TJ2EJ,2010-04-18,2011-04-17,Female,30,2010-04-18,1,Saloon,,Honda,,,CarSafe,0
ID_NNR736O,2010-03-20,2011-03-19,Female,45,2010-03-20,3,Saloon,,TOYOTA,Etsako West,Etsako-West,Car Classic,1
ID_TBLKGPI,2010-10-04,2011-04-03,Male,43,2010-10-04,1,Saloon,Blue,TOYOTA,Ifo,Benue,Car Classic,0
ID_1LSSBFI,2010-01-21,2011-01-20,Male,49,2010-01-21,1,Saloon,,TOYOTA,,,CarSafe,0
ID_5LLYCT2,2010-02-11,2011-02-10,Male,57,2010-02-11,2,JEEP,,TOYOTA,Victoria Island,Lagos,Car Plus,0
ID_CPUW096,2010-09-06,2011-07-10,Male,59,2010-09-06,1,Saloon,Black,Lexus,GBAGADA,Benue,Car Classic,0
ID_Y8WNFOG,2010-08-14,2011-08-13,NO GENDER,20,2010-08-14,3,Saloon,,Honda,GBAGADA,Benue,Car Classic,0
ID_2RMVS6O,2010-08-16,2011-08-15,Female,26,2010-08-16,1,,,,,,Car Classic,0
ID_A1ZWNZI,2010-10-29,2011-10-28,Male,44,2010-10-29,1,,,,,,CarSafe,0
ID_1MRFOU8,2010-05-24,2011-05-23,Male,42,2010-05-24,1,JEEP,Gold,TOYOTA,,,Car Classic,0
ID_OJWC04X,2010-04-30,2011-04-29,Male,49,2010-04-30,1,,Black,TOYOTA,Lagos Mainland,Lagos,Car Classic,0
ID_OWDOQJS,2010-08-13,2011-08-12,Male,42,2010-08-13,1,JEEP,Black,Kia,Obia/Akpor,Obia-Akpor,Car Classic,0
ID_PT6PG89,2010-01-28,2011-01-27,Male,1,2010-01-28,1,Saloon,Red,TOYOTA,,,Car Classic,0
ID_KZ2Q9DP,2010-05-19,2011-05-18,Joint Gender,20,2010-05-19,2,,Black,Kia,Lagos,Lagos,Customized Motor,0
ID_YXFNIUM,2010-07-23,2011-07-22,Male,41,2010-07-23,1,Saloon,,TOYOTA,,,CarSafe,0
ID_VWK5T0Z,2010-06-27,2011-06-26,Male,50,2010-06-27,1,Saloon,,TOYOTA,,,CarSafe,0
ID_NAGZZJ0,2010-03-12,2011-03-11,Female,43,2010-03-12,1,Saloon,,TOYOTA,,,CarSafe,0
ID_1BHWDTY,2010-04-09,2011-04-08,Female,40,2010-04-09,1,JEEP,White,TOYOTA,GBAGADA,Benue,Car Classic,0
ID_HJS2YMY,2010-09-06,2011-03-05,Male,32,2010-09-06,1,Saloon,,TOYOTA,,,Car Plus,1
ID_PZ7J2S7,2010-07-24,2011-01-15,Female,38,2010-07-24,1,JEEP,Wine,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
ID_X1Q44LG,2010-08-26,2011-08-25,Female,59,2010-08-26,1,Saloon,,TOYOTA,,,Car Classic,0
ID_Z9Y2HM8,2010-03-28,2011-03-26,Male,36,2010-03-28,1,JEEP,Silver,Volkswagen,,,Car Classic,0
ID_UGZHEWS,2010-10-16,2011-01-14,Female,37,2010-10-16,2,,,,,,Car Plus,0
ID_OCELF8S,2010-03-12,2011-03-11,Female,49,2010-03-12,1,JEEP,,Ford,Eti-Osa,Eti-Osa,Car Classic,1
ID_PC3CIWN,2010-10-24,2011-10-23,Male,54,2010-10-24,1,,,,,,Car Classic,0
ID_ZB4HTLE,2010-06-25,2011-06-23,Male,30,2010-06-25,1,JEEP,,TOYOTA,,,CarSafe,0
ID_UWEPC42,2010-04-03,2011-04-02,Male,57,2010-04-03,1,Saloon,,Honda,,,CarSafe,0
ID_VGNCJG3,2010-08-05,2011-02-13,Female,37,2010-08-05,4,,,Hyundai,Lekki,Lagos,Car Classic,1
ID_8JCFFH9,2010-04-05,2011-04-04,Male,40,2010-04-05,1,Saloon,Black,TOYOTA,,,Car Plus,1
ID_V5LD346,2010-03-28,2011-03-27,Male,42,2010-03-28,1,Saloon,Silver,TOYOTA,,,Car Classic,0
ID_BW5QGB0,2010-01-06,2011-01-05,Male,40,2010-01-06,1,Saloon,Silver,TOYOTA,,,Car Classic,1
ID_KEIOJ90,2010-01-10,2011-01-09,Male,50,2010-01-10,1,Saloon,,Kia,,,CarSafe,0
ID_71W9F9S,2010-10-07,2011-04-06,NOT STATED,36,2010-10-07,1,,,,,,Car Classic,0
ID_SJVGWZC,2010-06-22,2011-06-21,Male,59,2010-06-22,1,Saloon,,TOYOTA,,,CarSafe,0
ID_4D2G74S,2010-12-18,2011-12-17,Male,6,2010-12-18,2,,Red,TOYOTA,Surulere,Lagos,Car Classic,0
ID_L90MBEE,2010-01-04,2011-01-03,Male,42,2010-01-04,1,Saloon,,Ford,,,CarSafe,0
ID_CIOKONV,2010-02-26,2011-02-13,Male,39,2010-02-26,1,,Red & White,Iveco,Victoria Island,Lagos,CVTP,1
ID_V5H5FMK,2010-06-19,2011-06-18,Male,44,2010-06-19,1,Saloon,Silver,TOYOTA,,,Car Classic,0
ID_0HOD99L,2010-12-12,2011-12-11,Female,14,2010-12-12,1,,,,,,CarSafe,0
ID_ADVS3QX,2010-05-03,2011-05-02,Female,34,2010-05-03,1,Saloon,Grey,TOYOTA,,,Car Classic,0
ID_YIIQBDO,2010-01-09,2011-01-08,NOT STATED,40,2010-01-09,1,Saloon,,TOYOTA,,,CarSafe,0
ID_HSLXWDM,2010-02-08,2011-02-07,Female,39,2010-02-08,2,JEEP,Wine,Hyundai,Victoria Island,Lagos,Car Classic,0
ID_BMOU4CM,2010-05-28,2011-05-27,Male,46,2010-05-28,1,Saloon,,TOYOTA,,,CarSafe,0
ID_PBIC7IR,2010-05-07,2011-05-06,Male,32,2010-05-07,1,JEEP,Silver,Lexus,Ikeja,Lagos,Car Plus,1
ID_OFDEICG,2010-11-12,2011-11-11,Male,34,2010-11-12,1,Saloon,,TOYOTA,,,CarFlex,0
ID_PCOXJ4C,2010-03-06,2011-03-04,Female,45,2010-03-06,1,,,Honda,Kaduna,Kaduna,Car Classic,0
ID_4QCSRGW,2010-09-02,2011-09-01,Male,50,2010-09-02,1,,,,,,CarSafe,0
ID_FL9CKYP,2010-03-22,2011-03-21,Entity,20,2010-03-22,1,,,Iveco,Victoria Island,Lagos,CVTP,0
ID_W6K1AAI,2010-08-05,2011-02-03,Male,32,2010-08-05,1,,,,,,Car Classic,0
ID_GN6BJ1X,2010-07-16,2011-07-15,Female,2,2010-07-16,1,Saloon,,TOYOTA,,,CarSafe,0
ID_ZLI2S30,2010-04-15,2011-04-14,Male,69,2010-04-15,1,JEEP,Black,ACURA,,,Car Classic,0
ID_2YKGBYO,2010-06-13,2011-06-12,Male,55,2010-06-13,1,Truck,White,Mack,Egbeda,Benue,CVTP,0
ID_MIG7PP0,2010-03-20,2011-03-19,Male,39,2010-03-20,1,JEEP,Grey,ACURA,Ikeja,Lagos,Car Classic,0
ID_YJON3R4,2010-05-02,2011-05-01,Male,36,2010-05-02,1,Saloon,White,Kia,Lekki,Lagos,Car Plus,0
ID_860STD4,2010-03-08,2011-03-07,Male,28,2010-03-08,2,Saloon,Grey,TOYOTA,,,Car Classic,0
ID_B1T2D25,2010-09-30,2011-09-29,Male,47,2010-09-30,1,,,,,,Car Classic,0
ID_E5B9H41,2010-04-04,2011-04-03,Female,39,2010-04-04,1,Saloon,,TOYOTA,,,Car Classic,0
ID_E72NTIG,2010-07-16,2011-04-21,Female,54,2010-07-16,1,JEEP,Blue,TOYOTA,Agege,Lagos,Car Classic,1
ID_O5G8YNN,2010-02-18,2011-02-17,Male,45,2010-02-18,1,Saloon,,TOYOTA,,,CarSafe,0
ID_RM6ZU9Z,2010-09-02,2011-09-01,Male,36,2010-09-02,1,,,,,,Car Classic,0
ID_3VWBOTL,2010-04-10,2011-04-09,Male,41,2010-04-10,1,Saloon,Wine,TOYOTA,Ikeja,Lagos,Car Classic,0
ID_10US53F,2010-12-17,2011-12-16,Male,44,2010-12-17,1,Saloon,,TOYOTA,,,CarSafe,0
ID_JKPR8IL,2010-07-18,2011-07-17,Male,20,2010-07-18,2,JEEP,Black,Lexus,Lagos,Lagos,Car Classic,0
ID_92J8CGL,2010-11-08,2011-11-07,Male,40,2010-11-08,1,,,,,,CarSafe,0
ID_SWD8MOI,2010-11-16,2011-09-07,Male,34,2010-11-16,1,,Grey,TOYOTA,Victoria Island,Lagos,Car Classic,1
ID_6Z7I8U8,2010-08-01,2011-07-30,Female,60,2010-08-01,1,,,TOYOTA,Agege,Lagos,Car Classic,0
ID_QFBFF23,2010-12-10,2011-12-09,Male,38,2010-12-10,1,,,,,,Car Classic,0
ID_S2THXYY,2010-08-15,2011-01-28,Male,120,2010-08-15,1,,,,Victoria Island,Lagos,CVTP,0
ID_KRQUC7O,2010-01-26,2011-01-25,Male,66,2010-01-26,1,JEEP,,Nissan,Eti-Osa,Eti-Osa,Car Classic,0
ID_7NSE01Y,2010-05-07,2011-03-28,Male,35,2010-05-07,1,Saloon,,TOYOTA,Ikeja,Lagos,Car Classic,0
ID_XJ0FJ4Z,2010-09-05,2011-09-04,Female,40,2010-09-05,1,,,,,,CarSafe,0
ID_Q8OV23K,2010-09-02,2011-05-01,Male,48,2010-09-02,2,,,,Maryland,Lagos,Car Classic,0
ID_04FP4M2,2010-01-13,2011-01-12,Female,47,2010-01-13,3,JEEP,,Lexus,Asaba,Delta,Car Classic,1
ID_GKEKSIS,2010-03-04,2011-03-03,Male,40,2010-03-04,1,Saloon,,TOYOTA,,,CarSafe,0
ID_UFSMPO6,2010-12-12,2011-12-11,Male,41,2010-12-12,1,,,,,,CarSafe,0
ID_05R7YFI,2010-02-18,2011-02-17,Male,37,2010-02-18,1,JEEP,Ash,Lexus,Agege,Lagos,Car Classic,1
ID_52LH8X9,2010-09-09,2011-09-08,Female,36,2010-09-09,1,,,,,,CarSafe,0
ID_J9TBC8F,2010-07-23,2011-07-22,Male,46,2010-07-23,1,Saloon,,TOYOTA,,,CarSafe,0
ID_V9IVT3T,2010-04-05,2011-04-04,Male,49,2010-04-05,1,Saloon,Silver,TOYOTA,,,Car Classic,0
ID_84S9L2W,2010-06-26,2011-06-25,Male,57,2010-06-26,1,JEEP,Black,Lexus,Nnewi,Anambra,Car Classic,0
ID_VM04EPU,2010-08-08,2011-08-07,Female,42,2010-08-08,1,Saloon,,Nissan,,,CarSafe,0
ID_YRVZULI,2010-05-01,2011-04-30,Male,38,2010-05-01,2,Saloon,,TOYOTA,Irepodun,Benue,Car Classic,1
ID_60WH5Q6,2010-11-08,2011-11-07,Male,74,2010-11-08,1,,,,,,CarSafe,0
ID_600RVK1,2010-09-24,2011-09-23,Male,38,2010-09-24,1,Saloon,,TOYOTA,,,CarSafe,0
ID_1QD0I3F,2010-11-05,2011-11-04,Female,32,2010-11-05,2,,,,Lagos Island,Lagos,Car Classic,0
ID_3U7GP0U,2010-07-02,2011-07-01,Male,120,2010-07-02,1,Truck,Red,Iveco,Victoria Island,Lagos,CVTP,1
ID_6V5ADS6,2010-03-18,2011-03-17,Female,59,2010-03-18,2,JEEP,Black,TOYOTA,Lagos,Lagos,Car Classic,1
ID_Z7EEN8O,2010-09-05,2011-09-04,Male,75,2010-09-05,2,,,,Ikeja,Lagos,Car Classic,0
ID_4JCN3L7,2010-05-31,2011-05-30,Female,53,2010-05-31,1,Saloon,Black,Honda,Olorunsogo,Benue,Car Classic,1
ID_383HP7I,2010-12-28,2011-12-27,Male,51,2010-12-28,1,,Grey,TOYOTA,Amuwo-Odofin,Amuwo-Odofin,Car Classic,0
ID_B7LACB9,2010-10-22,2011-10-21,Male,35,2010-10-22,1,,,,,,CarSafe,0
